,Group,Data,Rand_Var,Group_Coded
0,Apical,0.07683966397355578,0.0,0
1,Apical,0.08596838665555326,0.0,0
2,Apical,0.024911247202763203,0.0,0
3,Apical,0.026670196305142748,0.0,0
4,Apical,0.020038413731103728,0.0,0
5,Apical,0.010280042553306881,0.0,0
6,Apical,0.060848120765831105,0.0,0
7,Apical,0.013636401007383753,0.0,0
8,Apical,0.1043160557097523,0.0,0
9,Apical,0.05605194200925584,0.0,0
10,Apical,0.035532274717480765,0.0,0
11,Apical,0.012703915069195897,0.0,0
12,Apical,0.0074578215807169865,0.0,0
14,Apical,0.11055672940434362,0.0,0
15,Apical,0.018252794576778465,0.0,0
16,Apical,0.0348006988057957,0.0,0
17,Apical,0.01448813995715515,0.0,0
18,Apical,0.014441210878778709,0.0,0
19,Apical,0.043431658257661,0.0,0
20,Apical,0.040583749108005565,0.0,0
21,Apical,0.014414270152255312,0.0,0
22,Apical,0.01795960806156227,0.0,0
23,Apical,0.011026138313641461,0.0,0
24,Apical,0.012758763601252703,0.0,0
25,Apical,0.010124472650952683,0.0,0
26,Apical,0.01801377388746086,0.0,0
27,Apical,0.04948089903466947,0.0,0
28,Apical,0.06791760618369708,0.0,0
29,Apical,0.04239730074852047,0.0,0
30,Apical,0.010640124485971833,0.0,0
31,Apical,0.09344817879857964,0.0,0
32,Apical,0.014694037455450793,0.0,0
33,Apical,0.006794304859503013,0.0,0
34,Apical,0.010723577245204082,0.0,0
35,Apical,0.01736349339703913,0.0,0
36,Apical,0.011780240768624588,0.0,0
37,Apical,0.01489101352619013,0.0,0
38,Apical,0.010134431469001328,0.0,0
39,Apical,0.09238787737381711,0.0,0
40,Apical,0.012901183478282969,0.0,0
41,Apical,0.07012743642786398,0.0,0
42,Apical,0.015716400359681998,0.0,0
43,Apical,0.011246737117409747,0.0,0
44,Apical,0.011216703531864818,1.0,0
45,Apical,0.011377076665298354,1.0,0
46,Apical,0.014224708354822101,1.0,0
47,Apical,0.09176871069658836,1.0,0
48,Apical,0.019019110658127374,1.0,0
49,Apical,0.022179464545395246,1.0,0
50,Apical,0.017964469139202806,1.0,0
51,Apical,0.015141081211233087,1.0,0
52,Apical,0.009750150149969319,1.0,0
53,Apical,0.011039691748863135,1.0,0
54,Apical,0.013790835454780846,1.0,0
55,Apical,0.010549090180743275,1.0,0
56,Apical,0.09840186129742536,1.0,0
57,Apical,0.02199192263105921,1.0,0
58,Apical,0.03965880243338545,1.0,0
59,Apical,0.018787347221568357,1.0,0
60,Apical,0.01589723964803612,1.0,0
61,Apical,0.012209029009294523,1.0,0
63,Apical,0.010288030421414357,1.0,0
64,Apical,0.02149265320546068,1.0,0
65,Apical,0.01762339018746325,1.0,0
66,Apical,0.01579965216834557,1.0,0
68,Apical,0.019039514783524256,1.0,0
69,Apical,0.014002905101936686,1.0,0
70,Apical,0.019835086681123933,1.0,0
71,Apical,0.010915134121540162,1.0,0
72,Apical,0.018903846632877346,1.0,0
73,Apical,0.02650011304837991,2.0,0
74,Apical,0.01666495614835556,2.0,0
75,Apical,0.037764960110576805,2.0,0
76,Apical,0.03558687297124002,2.0,0
77,Apical,0.023940016227724313,2.0,0
78,Apical,0.02269518264642227,2.0,0
79,Apical,0.019361656804567376,2.0,0
80,Apical,0.02307346280524311,2.0,0
81,Apical,0.03422940376561392,2.0,0
82,Apical,0.010793717660964939,2.0,0
83,Apical,0.017639740763110232,2.0,0
84,Apical,0.010229355467577276,2.0,0
85,Apical,0.05209601598344028,2.0,0
86,Apical,0.014810237405557876,2.0,0
87,Apical,0.01880518406482298,2.0,0
88,Apical,0.022301736912219188,2.0,0
89,Apical,0.0374931347288235,2.0,0
90,Apical,0.022919052773360864,2.0,0
91,Apical,0.0307708261667789,2.0,0
92,Apical,0.026466502225202432,2.0,0
93,Apical,0.024461358450131074,2.0,0
95,Apical,0.02224918033890445,2.0,0
96,Apical,0.13728053601198364,2.0,0
97,Apical,0.035349223157900164,2.0,0
98,Apical,0.018175917098715966,2.0,0
99,Apical,0.037574008843894766,2.0,0
100,Apical,0.023428871098372453,2.0,0
101,Apical,0.03229477263560381,2.0,0
102,Apical,0.07265315435296167,2.0,0
104,Apical,0.09240893942690705,2.0,0
105,Apical,0.0134804749269405,2.0,0
106,Apical,0.01455819926430758,2.0,0
107,Apical,0.1025080596986693,2.0,0
108,Apical,0.007443030028938218,2.0,0
109,Apical,0.017657202637515537,2.0,0
110,Apical,0.008875886021860926,2.0,0
111,Apical,0.014874625276152301,2.0,0
112,Apical,0.013621909848838164,2.0,0
113,Apical,0.012525885503655758,2.0,0
114,Apical,0.015957972410272917,2.0,0
115,Apical,0.011600331216929988,2.0,0
116,Apical,0.06956651363881566,2.0,0
117,Apical,0.015857874240383832,2.0,0
118,Apical,0.02124696312309087,2.0,0
119,Apical,0.013327200494420568,2.0,0
120,Apical,0.054104442951641143,2.0,0
121,Apical,0.07047498602355777,2.0,0
122,Apical,0.012685264067332225,2.0,0
123,Apical,0.014378057683110079,2.0,0
124,Apical,0.05003493058419112,2.0,0
125,Apical,0.05661009708781596,2.0,0
126,Apical,0.01960535515156901,2.0,0
127,Apical,0.022062300672149204,2.0,0
128,Apical,0.07174804776814457,2.0,0
129,Apical,0.018606457443342026,2.0,0
130,Apical,0.022518875200216622,2.0,0
131,Apical,0.016428134979907527,2.0,0
132,Apical,0.012633318145306537,2.0,0
133,Apical,0.014489907689347346,2.0,0
134,Apical,0.06741697666512611,2.0,0
135,Apical,0.06937657228149088,2.0,0
136,Apical,0.033039391041078496,2.0,0
137,Apical,0.032775174377577466,2.0,0
138,Apical,0.014311359856505088,2.0,0
139,Apical,0.012774007291639775,2.0,0
140,Apical,0.06199367702730929,2.0,0
141,Apical,0.06376583990377217,2.0,0
142,Apical,0.025798336181737914,2.0,0
143,Apical,0.09536328670276861,2.0,0
144,Apical,0.02236582917679484,3.0,0
145,Apical,0.0433480565994311,3.0,0
147,Apical,0.07737398706432168,3.0,0
148,Apical,0.03255131653393187,3.0,0
149,Apical,0.04305597527655849,3.0,0
150,Apical,0.03287071632027739,3.0,0
151,Apical,0.020866076547388795,3.0,0
152,Apical,0.03434381124942787,3.0,0
153,Apical,0.02602287776931171,3.0,0
154,Apical,0.01867683980288165,3.0,0
155,Apical,0.02055226244400939,3.0,0
156,Apical,0.04092986409475815,3.0,0
157,Apical,0.06235641771465798,3.0,0
158,Apical,0.018457893248044248,3.0,0
159,Apical,0.1192562921452736,3.0,0
160,Apical,0.015351006022605704,3.0,0
161,Apical,0.02208422790924454,3.0,0
162,Apical,0.027028590604638747,3.0,0
163,Apical,0.08601372685729385,3.0,0
164,Apical,0.04452758305079263,3.0,0
165,Apical,0.07573840260286845,3.0,0
166,Apical,0.014361972010529581,3.0,0
167,Apical,0.063301284288414,3.0,0
168,Apical,0.020196280640436277,3.0,0
169,Apical,0.017484603588619488,3.0,0
170,Apical,0.023988754768644857,3.0,0
171,Apical,0.013475468884414987,3.0,0
172,Apical,0.030927545791307614,3.0,0
173,Apical,0.017818509344871118,3.0,0
174,Apical,0.02339784181356501,3.0,0
175,Apical,0.07053868619381701,3.0,0
176,Apical,0.03171405520890379,3.0,0
177,Apical,0.04506417864649935,3.0,0
178,Apical,0.08843985594537067,3.0,0
179,Apical,0.02331287472650824,3.0,0
181,Apical,0.02155919835654513,3.0,0
182,Apical,0.02557853946517189,3.0,0
183,Apical,0.020341815780096018,3.0,0
184,Apical,0.015649789145786425,3.0,0
185,Apical,0.01859089105072534,3.0,0
187,Apical,0.022583441879454498,3.0,0
188,Apical,0.027605726913778474,3.0,0
189,Apical,0.024151796469660113,3.0,0
190,Apical,0.015440234137542154,3.0,0
191,Apical,0.05479309648112817,3.0,0
192,Apical,0.024861113944974797,3.0,0
193,Apical,0.019232375241608018,3.0,0
194,Apical,0.022425893993843427,3.0,0
195,Apical,0.020904294222453303,3.0,0
196,Apical,0.027874020188629,3.0,0
197,Apical,0.02663152660867675,3.0,0
198,Apical,0.016635529246099078,3.0,0
199,Apical,0.022635484855590728,3.0,0
200,Apical,0.06069787453108862,3.0,0
201,Apical,0.3154362870469935,3.0,0
202,Apical,0.019663673889796854,3.0,0
203,Apical,0.038424246564301975,3.0,0
204,Apical,0.013815273280898849,3.0,0
205,Apical,0.019234939731594413,3.0,0
206,Apical,0.11102332963116956,3.0,0
207,Apical,0.025531033741624208,3.0,0
208,Apical,0.011719687520496184,3.0,0
209,Apical,0.014782221498060072,3.0,0
210,Apical,0.056711276478772096,3.0,0
211,Apical,0.019501395347736372,3.0,0
212,Apical,0.041473541204535835,3.0,0
213,Apical,0.012976377877383037,3.0,0
214,Apical,0.03442329714868436,3.0,0
215,Apical,0.013079633285237861,3.0,0
216,Apical,0.07593305425624278,3.0,0
217,Apical,0.05521450794120516,3.0,0
218,Apical,0.02723857114579239,3.0,0
219,Apical,0.017419631948796248,3.0,0
220,Apical,0.029683048794652087,3.0,0
221,Apical,0.03223048400889959,3.0,0
222,Apical,0.009934495496931862,3.0,0
223,Apical,0.02076413638743182,3.0,0
224,Apical,0.022953398247051046,3.0,0
225,Apical,0.020849870354836757,3.0,0
226,Apical,0.0281964576713467,3.0,0
227,Apical,0.011596933928798703,3.0,0
228,Apical,0.021448481276374172,3.0,0
229,Apical,0.015689108676750683,3.0,0
230,Apical,0.02572572818380239,3.0,0
231,Apical,0.010194352063694203,3.0,0
232,Apical,0.021936937869989778,3.0,0
233,Apical,0.025757043322101148,3.0,0
234,Apical,0.010209854205682531,3.0,0
235,Apical,0.021113371036526343,3.0,0
236,Apical,0.013406870660960593,3.0,0
237,Apical,0.01954547424760549,3.0,0
238,Apical,0.06752171388108794,3.0,0
239,Apical,0.02967183015130598,3.0,0
240,Apical,0.015092226784046103,3.0,0
241,Apical,0.055314500074068636,3.0,0
242,Apical,0.018386215385278164,3.0,0
243,Apical,0.028810967585380206,3.0,0
244,Apical,0.03323297654705266,3.0,0
245,Apical,0.05761192182592597,3.0,0
246,Apical,0.02224451939711252,3.0,0
247,Apical,0.0138471734863793,3.0,0
248,Apical,0.018718446558642868,3.0,0
249,Apical,0.02200847658960114,3.0,0
250,Apical,0.04745844301467565,3.0,0
251,Apical,0.009170265304296862,3.0,0
252,Apical,0.058631969434708095,3.0,0
253,Apical,0.013441777444318998,3.0,0
254,Apical,0.018121417365622908,3.0,0
255,Apical,0.019216241801132235,3.0,0
256,Apical,0.07646956003295642,3.0,0
257,Apical,0.01345073814291102,3.0,0
258,Apical,0.030267920607629617,3.0,0
259,Apical,0.014099650322592052,3.0,0
260,Apical,0.007551114583631086,3.0,0
261,Apical,0.011556264782395138,3.0,0
262,Apical,0.015744571384332846,3.0,0
263,Apical,0.028128877698717702,3.0,0
264,Apical,0.015887612838354756,3.0,0
265,Apical,0.01353021629862812,3.0,0
266,Apical,0.006476386216611017,3.0,0
267,Apical,0.014405998570989833,3.0,0
268,Apical,0.009122512950032526,3.0,0
269,Apical,0.03727958144228524,3.0,0
270,Apical,0.010762150054224371,3.0,0
271,Apical,0.026526042738563765,4.0,0
272,Apical,0.04425246410483646,4.0,0
273,Apical,0.042683545656030275,4.0,0
274,Apical,0.7649119841332584,4.0,0
275,Apical,0.243051821786409,4.0,0
276,Apical,0.06418550808936774,4.0,0
277,Apical,0.09314046953082543,4.0,0
278,Apical,0.08902875785137007,4.0,0
279,Apical,0.08575067791839475,4.0,0
280,Apical,0.15082662109476044,4.0,0
281,Apical,0.261530971203813,4.0,0
282,Apical,0.016242873259942302,4.0,0
283,Apical,0.028420648628547217,4.0,0
284,Apical,0.024785043128812884,4.0,0
285,Apical,0.02021786862858189,4.0,0
286,Apical,0.015977975838151595,4.0,0
287,Apical,0.07180214345357457,4.0,0
289,Apical,0.017119750331735732,4.0,0
290,Apical,0.018552316280515933,4.0,0
291,Apical,0.035548479568667975,4.0,0
292,Apical,0.038088117491472985,4.0,0
293,Apical,0.18286691283415232,4.0,0
294,Apical,0.05463580627094971,4.0,0
295,Apical,0.20190439039070815,4.0,0
296,Apical,0.018055144330284646,4.0,0
297,Apical,0.021034316468029498,4.0,0
298,Apical,0.1176477983740114,4.0,0
299,Apical,0.023322086355297277,4.0,0
300,Apical,0.023705193118376607,4.0,0
301,Apical,0.034286625320117704,4.0,0
302,Apical,0.02508484866847885,4.0,0
303,Apical,0.033017542944383034,4.0,0
304,Apical,0.03783989392719937,4.0,0
305,Apical,0.02640303973873435,4.0,0
306,Apical,0.0415152046155078,4.0,0
307,Apical,0.15059169366264685,4.0,0
309,Apical,0.0298009231633194,4.0,0
310,Apical,0.05815602749751502,4.0,0
311,Apical,0.031645522719928425,4.0,0
312,Apical,0.046248932063763584,4.0,0
313,Apical,0.03753229160776539,4.0,0
314,Apical,0.062004388553041405,4.0,0
315,Apical,0.03756225971793824,4.0,0
317,Apical,0.054808903039578305,4.0,0
318,Apical,0.035003218047434566,4.0,0
319,Apical,0.08368982787678125,4.0,0
320,Apical,0.05491307546869136,4.0,0
321,Apical,0.04259018628806977,4.0,0
322,Apical,0.062319540025879305,4.0,0
323,Apical,0.023913524059441228,4.0,0
324,Apical,0.043193339736775124,4.0,0
325,Apical,0.04779158163689838,4.0,0
326,Apical,0.11234231541154645,4.0,0
327,Apical,0.047924772736133256,4.0,0
328,Apical,0.028117202501592435,4.0,0
329,Apical,0.040873355974512075,4.0,0
330,Apical,0.2668739870060052,5.0,0
331,Apical,0.032771976662413244,5.0,0
332,Apical,0.1108726117820128,5.0,0
333,Apical,0.12941492176654826,5.0,0
334,Apical,0.1308969681019578,5.0,0
335,Apical,0.07465447743452945,5.0,0
336,Apical,0.5052259908998247,5.0,0
337,Apical,0.07796056318284687,5.0,0
338,Apical,0.03850970082224204,5.0,0
339,Apical,0.07106671657734823,5.0,0
340,Apical,0.11319791237805413,5.0,0
342,Apical,0.06254294313901529,5.0,0
346,Apical,0.030488867306176854,5.0,0
347,Apical,0.13651289184659807,5.0,0
348,Apical,0.04422986718762398,5.0,0
349,Apical,0.09186760776057443,5.0,0
350,Apical,0.020876939363630123,5.0,0
351,Apical,0.10061507406758277,5.0,0
352,Apical,0.06441348995933857,5.0,0
353,Apical,0.056912008586175185,5.0,0
354,Apical,0.06318965323437195,5.0,0
356,Apical,0.3720589056895309,5.0,0
357,Apical,0.03650063661513583,5.0,0
358,Apical,0.12073031417113593,5.0,0
359,Apical,0.05576037839322277,6.0,0
360,Apical,0.06871342266689927,6.0,0
362,Apical,0.22543641572981743,6.0,0
365,Apical,0.05946339973469458,6.0,0
366,Apical,0.038293399305737115,6.0,0
367,Apical,0.0645403475211237,6.0,0
368,Apical,0.029082649402989484,6.0,0
369,Apical,0.05622982141712871,6.0,0
370,Apical,0.07379915223907203,6.0,0
372,Apical,0.03997692386719177,6.0,0
373,Apical,0.06250288744215843,6.0,0
374,Apical,0.030226358575898206,6.0,0
375,Apical,0.07934523176858094,6.0,0
376,Apical,0.05553853564263058,6.0,0
377,Apical,0.06219072302058731,6.0,0
378,Apical,0.03282786316053986,6.0,0
379,Apical,0.053180001506958535,6.0,0
380,Apical,0.16871711628738245,6.0,0
381,Apical,0.04485583393643562,6.0,0
382,Apical,0.03779343078044814,6.0,0
386,Apical,0.10144329133230025,6.0,0
387,Apical,0.12278578140590546,6.0,0
388,Apical,0.050246696330017285,6.0,0
389,Apical,0.0264969827224727,6.0,0
390,Apical,0.05291765816042687,6.0,0
391,Apical,0.08491936947084501,6.0,0
392,Apical,0.050309167786717596,6.0,0
393,Apical,0.024154173593623485,6.0,0
394,Apical,0.04730764365706584,6.0,0
395,Apical,0.06948329063987367,6.0,0
396,Apical,0.02160408782791754,6.0,0
397,Apical,0.02429618037651958,6.0,0
399,Apical,0.07728798856277305,6.0,0
400,Apical,0.02679753969570559,6.0,0
401,Apical,0.022091048984654298,7.0,0
402,Apical,0.03642818221681126,7.0,0
403,Apical,0.028776116922241874,7.0,0
404,Apical,0.02955268042777756,7.0,0
406,Apical,0.0304292850892317,7.0,0
407,Apical,0.17694600996201415,7.0,0
408,Apical,0.03312984300530081,7.0,0
409,Apical,0.03210793163240953,7.0,0
410,Apical,0.08752237735158869,7.0,0
411,Apical,0.01505477810751262,7.0,0
412,Apical,0.03302301768915453,7.0,0
413,Apical,0.01818632077996557,7.0,0
414,Apical,0.02056324608377112,7.0,0
415,Apical,0.028593040828655367,7.0,0
416,Apical,0.0280476210101429,7.0,0
417,Apical,0.031486470422500266,7.0,0
418,Apical,0.05916243783071562,7.0,0
419,Apical,0.027544702341971716,7.0,0
420,Apical,0.04692358840749931,7.0,0
422,Apical,0.03682107276147148,7.0,0
423,Apical,0.13007334543772905,7.0,0
424,Apical,0.022197003891963968,7.0,0
425,Apical,0.027410756376757214,8.0,0
427,Apical,0.037071836103645416,8.0,0
428,Apical,0.058843219097852104,8.0,0
429,Apical,0.08590466597651827,8.0,0
430,Apical,0.04697144100264236,8.0,0
432,Apical,0.07462373371860791,8.0,0
433,Apical,0.03560071943373364,8.0,0
434,Apical,0.05818863168621348,8.0,0
435,Apical,0.04344498744119617,8.0,0
436,Apical,0.04497035088045404,8.0,0
438,Apical,0.04710558064861123,8.0,0
439,Apical,0.06229678829734078,8.0,0
440,Apical,0.046041856595839134,8.0,0
441,Apical,0.1064987735729847,8.0,0
442,Apical,0.03671218998408681,8.0,0
443,Apical,0.031986806225143875,8.0,0
444,Apical,0.04144600742554265,8.0,0
445,Apical,0.040050455696113055,8.0,0
446,Apical,0.03799710651248224,8.0,0
447,Apical,0.025307745489588973,8.0,0
448,Apical,0.05071521439327437,8.0,0
449,Apical,0.04227551524909644,8.0,0
450,Apical,0.0452107838140526,8.0,0
451,Apical,0.03685816895113045,8.0,0
452,Apical,0.09819132969139642,8.0,0
453,Apical,0.07580108635018487,8.0,0
454,Apical,0.14106784770735187,8.0,0
455,Apical,0.03640178976592843,8.0,0
456,Apical,0.3506341539620522,8.0,0
457,Apical,0.045191320529021514,8.0,0
458,Apical,0.0260769194411874,8.0,0
459,Apical,0.03571656483816288,8.0,0
460,Apical,0.05664945927938103,8.0,0
461,Apical,0.0516290907084422,8.0,0
462,Apical,0.014988406850646275,8.0,0
463,Apical,0.04515599465776102,8.0,0
464,Apical,0.017957499870905703,8.0,0
465,Apical,0.03534089791744319,8.0,0
467,Apical,0.05011434130094565,8.0,0
468,Apical,0.026749982127496442,8.0,0
469,Apical,0.02505454941628639,8.0,0
470,Apical,0.03721284171651169,9.0,0
471,Apical,0.034257866671977694,9.0,0
472,Apical,0.05591824840283166,9.0,0
473,Apical,0.040909680315222005,9.0,0
474,Apical,0.039195433929414214,9.0,0
475,Apical,0.07947522099892919,9.0,0
476,Apical,0.055535261833585356,9.0,0
477,Apical,0.06774551207839707,9.0,0
478,Apical,0.040692365864095165,9.0,0
479,Apical,0.04515742154380114,9.0,0
480,Apical,0.041123594631171774,9.0,0
481,Apical,0.0787958191946436,9.0,0
482,Apical,0.032529600178390246,9.0,0
483,Apical,0.08999357593265499,9.0,0
484,Apical,0.05900170299734246,9.0,0
485,Apical,0.11281086446490916,9.0,0
486,Apical,0.08755426534735043,9.0,0
487,Apical,0.03223413689656911,9.0,0
488,Apical,0.029580573245947237,9.0,0
489,Apical,0.022857034724690375,9.0,0
